leftHipAngle,rightHipAngle,leftElbowAngle,rightElbowAngle,leftKneeAngle,rightKneeAngle,velocityX,velocityY,velocityZ,label
107.1778342,106.5182333,179.6988041,169.3677925,156.9559565,166.7914321,8.16E-05,-1.23E-05,0,FullRollUp
105.602736,105.8552596,179.9674084,169.4101236,155.4386233,166.8491534,0.000151098,-0.000155747,0,FullRollUp
105.0105636,105.2365005,179.8293641,168.507794,155.6904296,167.2623832,0.000107288,-0.000836968,0,FullRollUp
104.1315077,104.6454241,179.7511909,167.5895137,155.8295835,167.3644964,0.000444293,-0.000442803,0,FullRollUp
103.1955489,103.8298569,179.006704,167.4759376,155.2489448,166.6365161,0.000305831,-0.000771046,0,FullRollUp
94.91920574,103.0921471,178.6286303,166.9799796,140.165012,166.5320768,0.000537574,-0.000977933,0,FullRollUp
91.81949296,102.4223512,178.3411725,166.4299168,135.2019982,166.7368666,0.00053978,-0.000989556,0,FullRollUp
90.92545237,101.9020307,178.6638503,165.9584131,134.5652872,166.6901519,0.000293732,-5.05E-05,0,FullRollUp
89.60779375,101.4224753,177.7382637,165.656599,133.1516343,166.6469599,0.000745654,-4.69E-05,0,FullRollUp
89.6533289,101.0218513,175.5428009,163.3742837,138.9437823,167.0829914,0.000521779,1.39E-05,0,FullRollUp
88.1141294,100.7059562,176.1841299,163.1924814,138.6808036,167.5501398,0.000568092,9.30E-06,0,FullRollUp
88.23913735,100.0979434,176.5447636,161.9873647,136.6201361,167.7957573,0.000506222,1.12E-05,0,FullRollUp
88.11693647,99.56789482,176.7685009,163.2555175,135.3647433,168.1985071,0.000268161,7.71E-05,0,FullRollUp
87.46859582,98.34297827,177.108924,163.5124665,133.7180462,168.1987128,0.000314355,0.000773311,0,FullRollUp
86.79985085,97.68511527,177.0597941,163.7500103,133.1771606,167.980169,0.000195682,0.000171781,0,FullRollUp
88.92839749,96.74990608,177.4662616,163.5299398,137.4410082,167.8064579,6.74E-06,0.000243485,0,FullRollUp
90.31488102,95.52290553,179.3575047,164.0800241,142.0763853,167.1344159,3.33E-05,4.53E-05,0,FullRollUp
90.56015101,95.23844263,177.7535267,161.2790224,143.2833068,167.4649252,0.000670791,0.000130773,0,FullRollUp
90.72378843,94.78619725,179.3662798,163.4489717,145.0231545,167.6336444,0.00068444,3.05E-05,0,FullRollUp
90.28677733,94.09077177,179.9770837,164.442631,145.167637,167.7233453,0.000361204,4.94E-05,0,FullRollUp
89.7349067,93.50311179,179.7158156,165.6762624,144.9523286,167.6333702,0.000427544,1.47E-05,0,FullRollUp
89.31482999,92.86354916,179.6015221,165.8912202,144.651449,167.4682312,0.000774682,4.38E-05,0,FullRollUp
89.46250692,92.48276187,178.8572548,165.7830669,145.6723288,167.9263757,0.000346124,9.79E-05,0,FullRollUp
90.04181976,92.11402372,178.5076828,166.3880696,146.5024557,168.0918306,0.000251055,0.000102878,0,FullRollUp
90.01986116,91.69235865,176.9914435,166.2134765,147.0144803,168.2066596,0.000277221,0.000150561,0,FullRollUp
89.68364394,91.27942221,175.0976495,165.6016449,147.2228385,168.4863441,0.000361502,7.99E-06,0,FullRollUp
88.31723907,90.69888076,173.8895017,165.6183193,145.6208076,168.6476377,0.000390768,-0.000149906,0,FullRollUp
87.25226314,89.91403982,172.6350194,165.9348142,143.9178813,168.5019623,8.88E-06,1.07E-05,0,FullRollUp
86.29325615,89.5149481,173.1373894,166.3679165,143.5328348,168.304579,0.000317514,3.81E-05,0,FullRollUp
84.93909375,88.88756338,171.7055005,167.0378175,141.8735621,168.2492703,0.000760317,0.000157714,0,FullRollUp
83.96777472,88.46769969,171.7877638,166.7175378,139.9279603,168.2820625,0.000551224,-1.04E-05,0,FullRollUp
83.34711354,88.07808355,171.3911917,166.2875397,139.4894281,168.1786958,0.000840187,-0.000365615,0,FullRollUp
82.76867793,87.53693341,172.2401109,167.4141543,140.3546207,168.2107087,0.000710428,-0.00020045,0,FullRollUp
86.03544397,87.55139817,174.5893599,168.715541,149.0030447,168.7506982,2.04E-05,8.34E-07,0,FullRollUp
86.2170928,87.02597176,176.0079015,170.1224535,150.6713537,169.0970215,7.39E-05,-6.35E-05,0,FullRollUp
81.85955771,86.64171733,176.9860952,170.6932649,144.1484406,169.4695539,0.000675976,-9.05E-05,0,FullRollUp
80.71434188,86.15312564,179.5208581,171.8509249,143.9778734,169.6672057,-1.73E-05,-0.000148654,0,FullRollUp
83.2520131,85.78100705,179.7973833,171.9147276,148.969593,169.7655863,0.000285149,-0.000276208,0,FullRollUp
80.99621527,85.51630191,179.9632815,172.7254302,145.0308456,169.6708462,0.000552058,-7.49E-05,0,FullRollUp
77.68392452,85.25802147,178.8761583,173.2692893,139.3061977,170.0649237,0.000602543,-0.000247419,0,FullRollUp
82.60544921,85.1511987,178.9979404,173.7589854,148.5466052,170.3522341,0.000423431,-5.96E-08,0,FullRollUp
86.10626484,84.97775691,176.4157517,174.810608,154.6436336,170.7378162,4.83E-06,-1.85E-06,0,FullRollUp
86.35200347,84.84336009,176.1927481,175.4793242,156.1941582,171.3361803,0.000466526,-4.62E-05,0,FullRollUp
86.191727,84.9051961,177.7655148,174.8291151,156.8818901,171.6245763,0.000388086,-4.17E-05,0,FullRollUp
87.22809072,84.58063646,176.8991177,176.411508,159.8836612,171.7457398,0.000294983,-7.63E-05,0,FullRollUp
78.55849151,84.22602926,175.7505244,176.902593,145.5429137,172.0184959,-4.42E-05,-0.000327587,0,FullRollUp
75.66738409,83.92357322,177.5487277,175.8358423,142.2617964,172.4452658,3.24E-05,-3.00E-05,0,FullRollUp
82.89134367,83.81317421,175.0954157,177.7503969,157.4284922,172.7371071,-1.45E-05,-0.000132203,0,FullRollUp
78.3683971,83.88621962,173.3732507,179.2423026,149.1752989,172.5726418,2.30E-05,-0.000858605,0,FullRollUp
84.67095738,83.6976475,172.6455613,179.9585344,162.0287727,172.4304848,4.38E-05,-0.000347257,0,FullRollUp
87.08174911,83.56349408,171.2995225,178.3800118,166.2843363,172.5926697,-1.16E-05,-0.001398981,0,FullRollUp
81.71874629,83.0063655,170.5139419,177.3754521,155.2788415,172.1611299,-0.000265658,-0.001339853,0,FullRollUp
78.93758968,82.13801237,169.9798701,176.1317552,150.9011448,171.2249561,-0.000129461,-0.000658333,0,FullRollUp
77.66527308,81.53577358,169.4945399,175.2805192,148.6513632,170.4667269,-0.000145137,-0.000114501,0,FullRollUp
76.62202651,81.09828072,169.4078296,175.6372095,147.2044129,169.5535392,-4.89E-05,2.92E-05,0,FullRollUp
83.28276181,80.87027401,169.2865828,176.0973884,158.8675449,169.0724304,1.83E-05,-0.000348687,0,FullRollUp
82.43374288,80.6449273,168.4696992,175.6042932,158.1284498,168.847113,0.000106454,-0.00030762,0,FullRollUp
83.76259482,80.49346954,168.2492689,175.6981606,160.329063,168.7137785,0.000117064,-0.000111401,0,FullRollUp
83.73122279,80.33813338,167.8086042,175.0459448,160.303718,168.7138883,0.000213385,-0.000349462,0,FullRollUp
85.36881172,80.37869338,167.1697723,174.1828262,164.1270803,168.8676267,0.00030899,2.09E-06,0,FullRollUp
82.18272738,80.40383324,165.8419631,173.1579895,159.7377238,169.2543103,0.000760436,0.000109136,0,FullRollUp
80.89861317,80.25388464,166.1243703,172.7461353,157.6642336,169.412968,0.000290513,9.03E-05,0,FullRollUp
79.09261716,80.10853604,166.1801752,172.7831651,155.0852026,169.9929379,0.000409067,8.54E-05,0,FullRollUp
78.17025541,80.06091579,166.5660848,173.7261434,154.8450256,170.8510367,0.000374138,0.00026989,0,FullRollUp
77.10913981,80.00198553,167.3803516,174.349474,154.0569669,171.46243,0.000458777,-0.000274241,0,FullRollUp
76.16494731,79.60591658,168.2455166,175.5641223,154.7074994,172.1167333,0.000214159,-8.58E-06,0,FullRollUp
76.17999742,79.20131006,170.6039752,176.7060945,154.7124881,172.7987853,-0.000149667,0.000278294,0,FullRollUp
76.2908911,79.08505227,171.493437,175.7589861,154.6659359,173.1637459,-9.26E-05,4.41E-06,0,FullRollUp
76.68325822,78.89775418,169.7915023,174.4553387,155.5006229,172.9434213,-3.24E-05,0.00072068,0,FullRollUp
76.98403406,78.79390873,169.6225528,174.2791501,156.8812831,172.8967761,-0.000104189,0.001307607,0,FullRollUp
76.47971427,78.57475949,169.0803717,174.4196807,156.5283218,172.8084277,-0.000234902,0.00033927,0,FullRollUp
76.15047684,78.46918386,170.2212438,175.2656366,156.432392,172.6192407,-3.46E-05,2.43E-05,0,FullRollUp
75.68092311,78.36220064,170.2607939,175.2782013,156.6412283,172.5055195,-4.65E-06,-1.39E-05,0,FullRollUp
75.02481197,78.2750811,168.4765486,174.8457362,156.7824862,172.6893748,-7.27E-06,-3.15E-05,0,FullRollUp
72.7360824,77.4646069,167.7873751,171.2485662,153.8823227,172.0950098,-5.60E-06,-6.97E-06,0,FullRollUp
71.68604289,76.88790534,167.8114396,170.4675845,152.9618648,171.5517914,-6.38E-06,4.83E-05,0,FullRollUp
71.26643769,76.75625757,170.3800913,171.3079034,152.8749972,171.4276033,2.95E-05,-3.81E-06,0,FullRollUp
70.39990737,76.43063217,171.2554233,172.0505233,151.6218356,170.8069871,5.33E-05,-6.88E-05,0,FullRollUp
69.11731592,75.58703188,171.3416001,172.6008535,149.4863396,169.1992007,0.000145435,-0.000113368,0,FullRollUp
68.78895664,75.10211483,171.4762855,172.9249669,149.1023596,168.4742833,0.000127554,-0.000130892,0,FullRollUp
68.98292454,74.72574177,171.7659685,173.6119702,149.2270569,167.9542109,-8.94E-07,-0.000123262,0,FullRollUp
68.85003381,74.2705823,172.014265,174.3532949,149.2591604,167.7159668,2.18E-05,-0.000279903,0,FullRollUp
66.72780243,73.68782617,172.8486948,174.7369688,145.4394579,167.329444,-6.38E-06,-6.02E-06,0,FullRollUp
65.89990742,73.62084576,172.5103326,174.2402994,143.9357607,167.2692813,0.000124454,-0.000651121,0,FullRollUp
65.93756207,73.51826709,171.8382299,173.621541,144.1212471,167.2971417,1.25E-06,-0.000291467,0,FullRollUp
65.75864502,73.3115342,171.6467965,173.3887161,143.7923429,167.0705012,-0.000176668,0.000111639,0,FullRollUp
65.6692738,72.95848847,171.3281406,172.6552558,143.663211,166.5252244,-0.000252426,0.000160635,0,FullRollUp
65.60128323,72.79355798,171.1115,172.2029222,142.9642171,166.3617148,-0.000125289,4.79E-05,0,FullRollUp
65.6924476,72.78751712,171.6235084,172.315314,142.7380154,166.4115555,2.22E-05,-0.000234962,0,FullRollUp
65.20247729,72.76993258,171.799527,172.3232363,141.7401192,166.5051637,0.000105441,-0.000247836,0,FullRollUp
64.71726891,72.81851538,171.9748055,171.9660374,140.6863461,166.5644559,0.000166357,-0.000347257,0,FullRollUp
64.60431821,72.8955579,172.5653583,172.4638479,140.8142937,166.6540973,5.01E-05,-7.58E-05,0,FullRollUp
64.22457298,72.8403422,172.5687327,172.9776957,140.8122989,166.5916147,0.00010258,-1.42E-05,0,FullRollUp
64.45659025,72.80219838,173.0388621,172.4267106,141.9866789,166.3873593,7.76E-05,-3.10E-06,0,FullRollUp
64.29801623,72.68078253,174.4492358,173.0944606,141.977317,166.2720155,1.67E-06,1.61E-06,0,FullRollUp
65.22701689,72.67856039,174.0541199,172.9514338,145.5132249,166.5481329,0.000151098,-5.54E-05,0,FullRollUp
64.98586278,72.78501343,174.091219,172.7593242,145.6596445,167.1798823,1.31E-06,6.46E-05,0,FullRollUp
64.55912726,72.86499845,174.1642521,172.4023029,144.996341,167.7196972,-9.54E-07,1.10E-05,0,FullRollUp
64.36280423,72.84198841,175.7382465,172.3397942,144.6092047,167.7349052,3.99E-06,7.15E-07,0,FullRollUp
63.85622955,72.74509758,176.9906615,172.8476379,143.8962495,167.7423699,5.60E-06,-0.000141144,0,FullRollUp
63.6908389,72.73088901,177.4984591,172.4741698,143.7988296,167.7559666,-3.06E-05,-1.25E-06,0,FullRollUp
63.61410677,72.77062032,176.9275811,171.8011712,143.7364118,167.94373,-9.39E-05,0.000100613,0,FullRollUp
63.50734571,72.83608697,177.0513907,172.1573772,143.6785038,168.2167432,-0.000181139,0.000133574,0,FullRollUp
63.55044129,72.84980128,178.2143778,172.3898584,143.9147242,168.325362,5.72E-06,-7.62E-05,0,FullRollUp
63.53887682,72.86595598,177.372708,171.8896641,144.1117685,168.3917994,0.000160456,-0.000110447,0,FullRollUp
63.54314716,72.91514455,177.3205056,171.545276,144.2738466,168.4376884,4.44E-05,-6.97E-06,0,FullRollUp
63.50122676,72.92509141,177.1009755,170.9394305,144.2612397,168.5537567,2.51E-05,-8.37E-05,0,FullRollUp
63.5860519,73.0302487,178.0660905,170.7645297,144.505822,168.8614484,0.000117898,-0.000142574,0,FullRollUp
63.66952578,73.24313461,177.4079221,170.1667671,144.7468301,169.4191487,0.000196457,-0.000184894,0,FullRollUp
63.71302543,73.44616676,175.5860943,168.6839088,144.9799114,169.933713,0.000126183,-0.000123918,0,FullRollUp
63.76669317,73.60557874,175.0766274,167.5521791,145.1982239,170.3769205,0.000101984,-0.000188887,0,FullRollUp
63.80237724,73.77258702,174.7691764,167.4121208,145.3190792,170.7335811,1.70E-05,-8.65E-05,0,FullRollUp
63.88307415,73.88153126,173.5191609,167.0614875,145.4254319,170.9545633,1.73E-06,-4.17E-06,0,FullRollUp
63.90445038,73.95291146,172.7226081,166.8906761,145.4678888,171.1289808,-1.94E-05,-1.79E-06,0,FullRollUp
63.89941219,73.95815235,172.1979102,166.5827339,145.4316838,171.186159,-1.13E-06,1.01E-06,0,FullRollUp
63.91559072,73.95400197,170.9898281,165.7633661,145.2136198,171.1835358,2.98E-07,1.79E-07,0,FullRollUp
63.8954187,73.92366877,170.7329977,165.2985947,144.9355905,171.1651133,-4.32E-05,4.98E-05,0,FullRollUp
63.7516389,73.8379717,170.896498,165.2554368,144.5469087,171.1319624,-0.000187397,0.00018841,0,FullRollUp
63.61948709,73.68282372,170.2479978,164.2430427,144.166493,170.8692054,-4.10E-05,0.000407457,0,FullRollUp
63.56297576,73.50948532,169.6186818,164.3359734,143.775333,170.5618323,-0.000336766,0.000671566,0,FullRollUp
63.47534433,73.47908094,169.6682018,165.2218916,143.1926104,170.5120872,-0.000137925,0.000213563,0,FullRollUp
63.49773843,73.40348063,169.7580467,165.9697283,143.0030415,170.4678654,-0.000252783,1.12E-05,0,FullRollUp
63.41490091,73.35336582,170.2082507,166.3871715,142.6719058,170.4104863,-6.40E-05,-6.56E-07,0,FullRollUp
